,СберБанк,Приорбанк,МАПИД,Трест-35,Минскпромстрой,Брестгазоаппарат,Керамин,БЭРН,Белинвестбанк,БрестМК,МозырьНПЗ,СРСУ-3,СлуцкСахарКомб
СберБанк,1.0,-0.11965000347575772,0.14633857536376002,0.025540017461820167,0.14998422430430855,0.11253149160363757,0.17856019653297583,-0.2947176685168287,-0.3077228497200331,0.30471973883866854,0.3878028108787987,0.08628621475443524,-0.01740549451376029
Приорбанк,-0.11965000347575772,1.0,-0.22998771523965245,0.14509773995999983,0.0812376445520434,0.3234345753776034,-0.3132085564073006,0.04722220100342648,0.02923539313719877,0.04242309102828922,0.018373261120587042,0.006762261280987883,-0.34454469573768715
МАПИД,0.14633857536376002,-0.22998771523965245,1.0,0.0359506913774014,0.05014204441807509,-0.14490528163077687,0.2894894014776426,-0.30131389598625596,-0.018539401780271386,0.07642784301949254,0.33337581875278394,0.3078965716591354,0.19710426238601186
Трест-35,0.025540017461820167,0.14509773995999983,0.0359506913774014,1.0,0.4384673325921683,-0.3314857618652651,0.19791814391655174,0.017293076892395932,0.07877659908262175,0.01767603865467728,0.1481195545048593,-0.5079181099200907,-0.2173978714513914
Минскпромстрой,0.14998422430430855,0.0812376445520434,0.05014204441807509,0.4384673325921683,1.0,-0.06319217848269383,0.2808798907304735,-0.1555804390593103,-0.28677387449938374,-0.016943065355150416,0.27931811029305725,0.08361576337942293,-0.29739373165440336
Брестгазоаппарат,0.11253149160363757,0.3234345753776034,-0.14490528163077687,-0.3314857618652651,-0.06319217848269383,1.0,-0.017553334235998534,0.17663655603652403,-0.13227983321783776,0.2641670639405626,0.02451931627537368,0.15031569279476184,-0.49827194718600354
Керамин,0.17856019653297583,-0.3132085564073006,0.2894894014776426,0.19791814391655174,0.2808798907304735,-0.017553334235998534,1.0,-0.03478253782727823,-0.013453952291979621,0.14458371131912448,-0.005674804544618381,0.12713272547712712,-0.031654545231477156
БЭРН,-0.2947176685168287,0.04722220100342648,-0.30131389598625596,0.017293076892395932,-0.1555804390593103,0.17663655603652403,-0.03478253782727823,1.0,0.27035961039215967,0.26240780199275787,0.014394477486943934,0.02927637142608023,0.0012923628946169383
Белинвестбанк,-0.3077228497200331,0.02923539313719877,-0.018539401780271386,0.07877659908262175,-0.28677387449938374,-0.13227983321783776,-0.013453952291979621,0.27035961039215967,1.0,0.09047664326153904,0.026881608718018757,-0.13878753545819802,-0.016112230257499922
БрестМК,0.30471973883866854,0.04242309102828922,0.07642784301949254,0.01767603865467728,-0.016943065355150416,0.2641670639405626,0.14458371131912448,0.26240780199275787,0.09047664326153904,1.0,0.4437668541818515,0.02843708899485495,-0.1855920132816763
МозырьНПЗ,0.3878028108787987,0.018373261120587042,0.33337581875278394,0.1481195545048593,0.27931811029305725,0.02451931627537368,-0.005674804544618381,0.014394477486943934,0.026881608718018757,0.4437668541818515,1.0,0.01955878920652456,-0.347209581533959
СРСУ-3,0.08628621475443524,0.006762261280987883,0.3078965716591354,-0.5079181099200907,0.08361576337942293,0.15031569279476184,0.12713272547712712,0.02927637142608023,-0.13878753545819802,0.02843708899485495,0.01955878920652456,1.0,0.22076224997214358
СлуцкСахарКомб,-0.01740549451376029,-0.34454469573768715,0.19710426238601186,-0.2173978714513914,-0.29739373165440336,-0.49827194718600354,-0.031654545231477156,0.0012923628946169383,-0.016112230257499922,-0.1855920132816763,-0.347209581533959,0.22076224997214358,1.0
