date,СберБанк,Приорбанк,МАПИД,Трест-35,Минскпромстрой,Брестгазоаппарат,Керамин,БЭРН,Белинвестбанк,БрестМК,МозырьНПЗ,СРСУ-3,СлуцкСахарКомб
2024-02-29,0.0862068965517242,-0.02457466918714557,-0.08200455580865595,-0.013913043478260834,-0.06291706387035267,-0.015015342157343348,0.00019999999999997797,-0.21864951768488738,0.0,-0.018910126067507083,-0.11863636363636365,0.028571428571428692,0.0011540970445080845
2024-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,-0.09496124031007758,0.00992555831265518,-0.007054673721340388,-0.08341810783316383,-0.16866359447004609,-0.10217956408718254,0.007054673721340166,0.0,-0.1741968911917099,-0.15069623517276942,0.0,0.4785485164394545
2024-05-31,0.20634920634920628,-0.10706638115631695,0.1941031941031941,0.00355239786856143,-0.0011098779134295356,-0.050849963045084934,-0.09309576837416478,-0.12434325744308228,0.0,0.15472455766093618,0.21326208404177804,0.0,0.004237288135593209
2024-06-30,0.026315789473684292,0.014388489208633226,0.12345679012345667,-0.11327433628318595,0.0,-0.005084877744899519,0.048133595284872266,0.1299999999999999,0.0,0.030210823733970882,-0.024774774774774855,0.5333333333333332,0.17805907172995772
2024-07-31,0.0512820512820511,-0.009456264775413725,0.02564102564102555,-0.059880239520958,0.10222222222222221,0.0039212003099391435,0.07966260543580117,0.0,0.0,0.0025316455696202667,0.024890941750064233,0.2753623188405798,0.02005730659025784
2024-08-31,-0.08536585365853655,0.09546539379474916,0.025000000000000133,0.06157112526539277,-0.092741935483871,-0.040867558549287475,-0.03038194444444442,0.0,0.0,0.007891414141414144,-0.0019028542814221172,-0.02840909090909094,0.0
2024-09-30,-0.040000000000000036,-0.08496732026143783,-0.04181184668989546,-0.038000000000000034,0.0,0.030985320176222908,-0.04252461951656217,0.028908554572271594,0.0,-0.17966384800083524,-0.08433674493277143,-0.04385964912280704,-0.15443820224719107
2024-10-31,0.04166666666666674,0.1499999999999999,-0.06000000000000005,0.01871101871101888,0.0,0.011841877040003723,-0.15030388031790554,-0.07798165137614699,0.0,-0.07686434207177384,0.0,0.022935779816513735,-0.15288020729519625
2024-11-30,0.17333333333333334,0.07660455486542439,-0.06769825918762085,0.10510204081632635,0.05555555555555558,-0.03133863175938911,0.08363136176066033,0.07213930348258701,0.0,-0.08367797077474504,0.04103884718645556,0.09865470852017921,-0.03305882352941181
2024-12-31,0.022727272727272707,-0.07500000000000007,0.09751037344398328,0.006463527239150446,-0.052631578947368474,-0.01017551762415747,0.0038080731150038627,-0.12877030162412983,0.0,-0.11629306454039412,-0.009210526315789447,0.08843537414965996,0.08395181895607728
2025-01-31,0.04444444444444429,0.043659043659043606,0.05482041587901709,0.014678899082568808,0.0,0.10522295271143323,0.052352048558421904,0.0,0.0,0.11627511065713292,-0.07474103585657366,0.0,-0.010176974594978794
2025-02-28,0.02127659574468077,-0.11553784860557759,0.1308243727598566,0.12477396021699816,0.09888888888888903,-0.04646289365519374,0.25859168469118,-0.0006657789613847553,0.0,-0.04239743785267647,0.0,0.21625000000000005,0.018937818937818873
2025-03-31,-0.08333333333333326,0.006756756756756577,-0.0015847860538826808,0.06591639871382649,-0.0869565217391306,-0.04675282614395204,0.006683215581439805,0.27181878747501664,4.0,0.04188565058130278,0.0,-0.08016443987667021,0.011982489983677125
2025-04-30,-0.011363636363636354,-0.013422818791946178,-0.20793650793650786,0.1809954751131222,0.12181616832779629,-0.06926928708370084,-0.06600910470409704,0.09324253535882665,0.0,-0.02384591867930297,0.0,-0.21452513966480435,-0.007844862348326709
2025-05-31,-0.02298850574712641,0.08843537414965974,0.1583166332665331,0.2324393358876118,0.16288252714708773,-0.10394938117090802,-0.012997562956945541,-0.27551509343555347,0.19999999999999996,-0.05934857500782964,0.0,-0.038406827880512195,-0.022612229817106977
2025-06-30,-0.0117647058823529,0.04166666666666674,-0.10207612456747406,0.03678756476683942,0.0,0.04680103980755801,-0.13106995884773676,0.5820105820105823,0.0,0.13634093557516236,0.0,0.12426035502958577,-0.014969946697916958
2025-07-31,-0.08333333333333326,-0.03599999999999992,0.057803468208092346,0.1159420289855071,0.0,-0.03717534122181976,0.004499171205304409,0.20819397993311028,0.16666666666666674,-0.08965719308526232,0.0,-0.006578947368421018,-0.017999002187511937
2025-08-31,0.0,0.014522821576763434,0.07103825136612008,0.12001791312136145,0.0,-0.03904377869096998,0.1053748231966054,0.2314878892733565,-0.14285714285714302,-0.0020920502092051096,0.0,-0.15761589403973508,0.0
2025-09-30,-0.06493506493506496,0.042944785276073594,-0.04081632653061229,-0.03878448620551789,0.0,-0.011677282377919318,-0.10897846022606095,-0.01601573475695417,0.16666666666666674,0.0169327527818095,0.0,0.25786163522012573,-0.005979365327497321
2025-10-31,-0.04166666666666674,-0.005882352941176339,0.03014184397163122,0.02329450915141451,0.0,-0.014551202804855778,-0.0196266156055529,0.06225014277555685,0.0,0.032350142721217834,0.0,0.02499999999999991,-0.0001572636131315086
2025-11-30,0.0,0.08875739644970393,-0.0034423407917383297,-0.026422764227642337,0.0,0.09575321336760911,-0.095947265625,-0.004301075268817289,0.0,-0.13533026113671265,0.0,-0.0012195121951219523,0.045613621171011864
2025-12-31,0.05797101449275366,-0.047101449275362306,-0.07599309153713307,0.003757828810020847,0.0,-0.008145492764775275,0.14852822036186875,0.019708423326133984,-0.14285714285714302,0.14176585539172137,0.0,-0.14529914529914523,0.0
2026-01-31,0.1643835616438356,0.020912547528517234,0.048598130841121634,0.19425956738768724,0.0,0.030342308929551365,0.030331530684222896,0.024887476833465705,0.0,0.10082464602458385,0.0,0.0,0.0
