date,СберБанк,Белинвестбанк,Приорбанк,МАПИД,СлуцкСахарКомб,Трест-35,Минскпромстрой
2024-01-31,0.58,0.01,5.29,4.39,199.29,11.5,10.49
2024-02-29,0.63,0.01,5.16,4.03,199.52,11.34,9.83
2024-03-31,0.63,0.01,5.16,4.03,199.52,11.34,9.83
2024-04-30,0.63,0.01,4.67,4.07,295.0,11.26,9.01
2024-05-31,0.76,0.01,4.17,4.86,296.25,11.3,9.0
2024-06-30,0.78,0.01,4.23,5.46,349.0,10.02,9.0
2024-07-31,0.82,0.01,4.19,5.6,356.0,9.42,9.92
2024-08-31,0.75,0.01,4.59,5.74,356.0,10.0,9.0
2024-09-30,0.72,0.01,4.2,5.5,301.02,9.62,9.0
2024-10-31,0.75,0.01,4.83,5.17,255.0,9.8,9.0
2024-11-30,0.88,0.01,5.2,4.82,246.57,10.83,9.5
2024-12-31,0.9,0.01,4.81,5.29,267.27,10.9,9.0
2025-01-31,0.94,0.01,5.02,5.58,264.55,11.06,9.0
2025-02-28,0.96,0.01,4.44,6.31,269.56,12.44,9.89
2025-03-31,0.88,0.05,4.47,6.3,272.79,13.26,9.03
2025-04-30,0.87,0.05,4.41,4.99,270.65,15.66,10.13
2025-05-31,0.85,0.06,4.8,5.78,264.53,19.3,11.78
2025-06-30,0.84,0.06,5.0,5.19,260.57,20.01,11.78
2025-07-31,0.77,0.07,4.82,5.49,255.88,22.33,11.78
2025-08-31,0.77,0.06,4.89,5.88,255.88,25.01,11.78
2025-09-30,0.72,0.07,5.1,5.64,254.35,24.04,11.78
2025-10-31,0.69,0.07,5.07,5.81,254.31,24.6,11.78
2025-11-30,0.69,0.07,5.52,5.79,265.91,23.95,11.78
2025-12-31,0.73,0.06,5.26,5.35,265.91,24.04,11.78
2026-01-31,0.85,0.06,5.37,5.61,265.91,28.71,11.78
